model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
OLS,ETTh1,96,0.5089747905731201,0.4750094711780548,0
DLinear,ETTh1,720,0.7939471006393433,0.6337229609489441,0
FreTS,ETTh1,336,0.7313107252120972,0.5548804998397827,0
DLinear,ETTh1,336,0.6198548078536987,0.5487030744552612,0
DLinear,ETTh1,192,0.6234543323516846,0.5350103378295898,0
FreTS,ETTh1,720,0.7797132134437561,0.634913444519043,0
OLS,ETTh1,720,0.8747867345809937,0.6378802061080933,0
OLS,ETTh1,336,0.634852945804596,0.5437770485877991,0
OLS,ETTh1,192,0.551909327507019,0.5034914612770081,0
DLinear,ETTh1,96,0.5271572470664978,0.4956548511981964,0
FreTS,ETTh1,192,0.5385180711746216,0.5088036060333252,0
iTransformer,ETTh1,720,0.7632803916931152,0.6350609064102173,0
FreTS,ETTh1,96,0.503436267375946,0.4807312488555908,0
iTransformer,ETTh1,192,0.5408461689949036,0.5141710042953491,0
iTransformer,ETTh1,336,0.6096370220184326,0.5550085306167603,0
iTransformer,ETTh1,96,0.5119607448577881,0.484286904335022,0
MICN,ETTh1,96,0.5748697519302368,0.5158111453056335,0
MICN,ETTh1,192,0.6337442994117737,0.5502835512161255,0
PatchTST,ETTh1,720,1.879604816436768,0.6946925520896912,0
PatchTST,ETTh1,336,0.5870556831359863,0.5424399375915527,0
MICN,ETTh1,336,0.7862361669540405,0.5970422029495239,0
MICN,ETTh1,720,2.484510660171509,0.7912496328353882,0
PatchTST,ETTh1,96,0.4953704476356506,0.4838326275348663,0
PatchTST,ETTh1,192,0.5689635276794434,0.5197403430938721,0
