model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,720,0.7043413,0.6135737,0
DLinear,ETTh1,192,0.5516032576560974,0.5216289758682251,0
DLinear,ETTh1,336,0.5915022492408752,0.5461006164550781,0
DLinear,ETTh1,96,0.5062329769134521,0.4873457551002502,0
OLS,ETTh1,336,0.5768148303031921,0.530921459197998,0
FreTS,ETTh1,720,0.7085028290748596,0.6177916526794434,0
FreTS,ETTh1,192,0.5380033254623413,0.5123388767242432,0
OLS,ETTh1,720,0.6920485496520996,0.6026054620742798,0
FreTS,ETTh1,96,0.4845512211322784,0.4738625586032867,0
OLS,ETTh1,192,0.542168915271759,0.5085904002189636,0
FreTS,ETTh1,336,0.580704927444458,0.5385866165161133,0
OLS,ETTh1,96,0.4890347123146057,0.470242440700531,0
iTransformer,ETTh1,336,0.5939368605613708,0.5532961487770081,0
iTransformer,ETTh1,720,0.6902626752853394,0.6147397756576538,0
iTransformer,ETTh1,192,0.5491527318954468,0.5236302614212036,0
iTransformer,ETTh1,96,0.4785307049751282,0.4724051356315613,0
PatchTST,ETTh1,720,0.7018375992774963,0.620965301990509,0
PatchTST,ETTh1,336,0.5753892660140991,0.541176438331604,0
MICN,ETTh1,192,0.6096906065940857,0.5476305484771729,0
MICN,ETTh1,96,0.5491777062416077,0.510421097278595,0
PatchTST,ETTh1,192,0.5267103314399719,0.5169005393981934,0
MICN,ETTh1,720,0.8927057981491089,0.7071036696434021,0
MICN,ETTh1,336,0.6689234972000122,0.5757700204849243,0
PatchTST,ETTh1,96,0.47304144501686096,0.4789767563343048,0
