model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
FreTS,ETTh1,720,0.6969059109687805,0.613317608833313,0
FreTS,ETTh1,96,0.4478685557842254,0.4507729113101959,0
DLinear,ETTh1,720,0.6960729360580444,0.6117522120475769,0
DLinear,ETTh1,336,0.5871210694313049,0.5426158308982849,0
DLinear,ETTh1,192,0.5285434126853943,0.5079938769340515,0
DLinear,ETTh1,96,0.4709838926792145,0.4676175713539123,0
FreTS,ETTh1,336,0.5779736638069153,0.5356302857398987,0
OLS,ETTh1,720,0.6792625188827515,0.598547637462616,0
OLS,ETTh1,336,0.5748669505119324,0.5289586782455444,0
OLS,ETTh1,96,0.4515276551246643,0.4473920464515686,0
OLS,ETTh1,192,0.5113918781280518,0.4907486140727997,0
FreTS,ETTh1,192,0.510124146938324,0.495406836271286,0
iTransformer,ETTh1,720,0.679395854473114,0.6105024814605713,0
iTransformer,ETTh1,336,0.594293475151062,0.5515391230583191,0
iTransformer,ETTh1,192,0.5168192386627197,0.5053473114967346,0
iTransformer,ETTh1,96,0.4405251443386078,0.452476441860199,0
PatchTST,ETTh1,720,0.6875799894332886,0.6168298721313477,0
MICN,ETTh1,192,0.5647551417350769,0.5267333388328552,0
MICN,ETTh1,96,0.4951850175857544,0.4835921227931976,0
MICN,ETTh1,336,0.6535667777061462,0.5710116624832153,0
MICN,ETTh1,720,0.8473250269889832,0.6887481808662415,0
PatchTST,ETTh1,336,0.5759129524230957,0.539792537689209,0
PatchTST,ETTh1,192,0.4995413720607757,0.4992602467536926,0
PatchTST,ETTh1,96,0.43491119146347046,0.4543687701225281,0
