model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,720,0.7097174,0.6154831,0
FreTS,ETTh1,720,0.7159065008163452,0.619444727897644,0
DLinear,ETTh1,336,0.5657393932342529,0.5293517112731934,0
OLS,ETTh1,720,0.6975577473640442,0.6042320132255554,0
FreTS,ETTh1,336,0.5541238784790039,0.5221943855285645,0
FreTS,ETTh1,192,0.501960813999176,0.4874038398265838,0
FreTS,ETTh1,96,0.4461313784122467,0.4490360617637634,0
DLinear,ETTh1,192,0.5211493968963623,0.5005473494529724,0
OLS,ETTh1,336,0.5507478713989258,0.5140700936317444,0
DLinear,ETTh1,96,0.4694575369358063,0.4661117792129516,0
OLS,ETTh1,192,0.5043364763259888,0.4828082919120788,0
OLS,ETTh1,96,0.4509134590625763,0.4460678398609161,0
iTransformer,ETTh1,720,0.7010869979858398,0.6187125444412231,0
iTransformer,ETTh1,192,0.5101701617240906,0.4983863532543182,0
iTransformer,ETTh1,336,0.5639508962631226,0.5356014370918274,0
iTransformer,ETTh1,96,0.4488064646720886,0.4547336995601654,0
PatchTST,ETTh1,720,0.7041186690330505,0.6204042434692383,0
MICN,ETTh1,192,0.5895282626152039,0.5320056080818176,0
MICN,ETTh1,96,0.5186487436294556,0.4908454120159149,0
MICN,ETTh1,336,0.6623908281326294,0.5711562633514404,0
MICN,ETTh1,720,0.8985098004341125,0.7075603008270264,0
PatchTST,ETTh1,192,0.4908457994461059,0.4913999438285827,0
PatchTST,ETTh1,96,0.4327850341796875,0.4528887867927551,0
