model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,96,0.4627586007118225,0.4624743461608886,0
DLinear,ETTh1,192,0.506155252456665,0.492252916097641,0
DLinear,ETTh1,720,0.6407532095909119,0.5827172994613647,0
DLinear,ETTh1,336,0.539573609828949,0.5194931030273438,0
iTransformer,ETTh1,96,0.4374962449073791,0.4496969580650329,0
iTransformer,ETTh1,336,0.5374618768692017,0.5276567339897156,0
iTransformer,ETTh1,192,0.4977922737598419,0.4931519329547882,0
iTransformer,ETTh1,720,0.6323244571685791,0.5889405608177185,0
MICN,ETTh1,192,0.5469890832901001,0.514636754989624,0
MICN,ETTh1,336,0.5934780836105347,0.5488074421882629,0
MICN,ETTh1,96,0.4959278404712677,0.4820759296417236,0
MICN,ETTh1,720,0.7356811761856079,0.6409068703651428,0
OLS,ETTh1,96,0.4428111314773559,0.4420647919178009,0
OLS,ETTh1,336,0.5239551663398743,0.5047875642776489,0
OLS,ETTh1,720,0.6271759271621704,0.5728562474250793,0
OLS,ETTh1,192,0.4886469841003418,0.4746475517749786,0
PatchTST,ETTh1,96,0.4278562366962433,0.4493788182735443,0
PatchTST,ETTh1,192,0.4759584367275238,0.4827507436275482,0
PatchTST,ETTh1,336,0.5298740863800049,0.5195580124855042,0
PatchTST,ETTh1,720,0.62717205286026,0.587095320224762,0
FreTS,ETTh1,720,0.6446509957313538,0.5871512293815613,0
FreTS,ETTh1,96,0.4403206706047058,0.4461314380168915,0
FreTS,ETTh1,192,0.4888681471347809,0.4808055758476257,0
FreTS,ETTh1,336,0.5301573872566223,0.5143445730209351,0
