model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
FreTS,ETTh1,192,0.4889342,0.48083997,0
DLinear,ETTh1,336,0.5395808815956116,0.5192407369613647,0
DLinear,ETTh1,192,0.506263017654419,0.4923723936080932,0
FreTS,ETTh1,336,0.5302159190177917,0.5140044093132019,0
DLinear,ETTh1,720,0.647023618221283,0.5865871906280518,0
FreTS,ETTh1,720,0.6523140072822571,0.5919194221496582,0
FreTS,ETTh1,96,0.4401499629020691,0.4460161030292511,0
DLinear,ETTh1,96,0.4624788463115692,0.4623165428638458,0
iTransformer,ETTh1,96,0.4371263682842254,0.4495523571968078,0
iTransformer,ETTh1,192,0.4971729815006256,0.4928131997585296,0
iTransformer,ETTh1,720,0.6367384195327759,0.5919532179832458,0
iTransformer,ETTh1,336,0.5368970036506653,0.5268693566322327,0
MICN,ETTh1,336,0.5925107598304749,0.5483591556549072,0
MICN,ETTh1,96,0.4959834814071655,0.4821228384971618,0
MICN,ETTh1,192,0.5460405349731445,0.5144098401069641,0
MICN,ETTh1,720,0.7356427907943726,0.641026496887207,0
OLS,ETTh1,96,0.4426312744617462,0.4419723451137543,0
OLS,ETTh1,336,0.5241949558258057,0.504554033279419,0
OLS,ETTh1,192,0.4889721274375915,0.4748880267143249,0
OLS,ETTh1,720,0.6344811916351318,0.5773193836212158,0
PatchTST,ETTh1,96,0.4276987016201019,0.4492860734462738,0
PatchTST,ETTh1,720,0.6335210204124451,0.5906955599784851,0
PatchTST,ETTh1,336,0.5288287401199341,0.5186572074890137,0
PatchTST,ETTh1,192,0.47547775506973267,0.4823876917362213,0
