model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,336,0.5395315,0.5197411,0
DLinear,ETTh1,720,0.6456243991851807,0.5858594179153442,0
DLinear,ETTh1,192,0.5059374570846558,0.4920102059841156,0
DLinear,ETTh1,96,0.4625767171382904,0.4622756540775299,0
FreTS,ETTh1,336,0.5301893353462219,0.5145292282104492,0
FreTS,ETTh1,720,0.6496478319168091,0.5902796387672424,0
FreTS,ETTh1,192,0.4886486530303955,0.4805601239204407,0
FreTS,ETTh1,96,0.4401560127735138,0.4459369480609894,0
iTransformer,ETTh1,96,0.4372377097606659,0.4494430422782898,0
iTransformer,ETTh1,336,0.5376639366149902,0.5278469324111938,0
iTransformer,ETTh1,720,0.6353986859321594,0.5907500982284546,0
iTransformer,ETTh1,192,0.4975589513778686,0.4928912222385406,0
MICN,ETTh1,96,0.4957689642906189,0.481903612613678,0
MICN,ETTh1,192,0.5465604066848755,0.5143781900405884,0
MICN,ETTh1,336,0.5938563942909241,0.5491465926170349,0
MICN,ETTh1,720,0.7378754615783691,0.6420277953147888,0
OLS,ETTh1,96,0.4426486492156982,0.4418893754482269,0
OLS,ETTh1,192,0.4884763360023498,0.4744381904602051,0
OLS,ETTh1,336,0.5239629745483398,0.505045473575592,0
OLS,ETTh1,720,0.6325061917304993,0.5763444304466248,0
PatchTST,ETTh1,96,0.4275843799114227,0.4490991234779358,0
PatchTST,ETTh1,192,0.4755233526229858,0.4823758602142334,0
PatchTST,ETTh1,336,0.5295557379722595,0.519741415977478,0
PatchTST,ETTh1,720,0.6311352849006653,0.5898224115371704,0
