model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
0,,,,,
DLinear,ETTh1,192.0,0.5062649846076965,0.4923343658447265,0.0
DLinear,ETTh1,720.0,0.6378964781761169,0.5810434818267822,0.0
FreTS,ETTh1,336.0,0.5294691324234009,0.5138770937919617,0.0
DLinear,ETTh1,96.0,0.462736964225769,0.4624307751655578,0.0
FreTS,ETTh1,720.0,0.6424856185913086,0.5859367251396179,0.0
FreTS,ETTh1,192.0,0.488966554403305,0.4808696806430816,0.0
DLinear,ETTh1,336.0,0.5389299392700195,0.5190552473068237,0.0
FreTS,ETTh1,96.0,0.4402874708175659,0.4460663199424743,0.0
iTransformer,ETTh1,192.0,0.4978792369365692,0.4932185411453247,0.0
iTransformer,ETTh1,720.0,0.6311323046684265,0.5882972478866577,0.0
iTransformer,ETTh1,96.0,0.437484860420227,0.4496535658836365,0.0
iTransformer,ETTh1,336.0,0.5366514325141907,0.5270312428474426,0.0
MICN,ETTh1,96.0,0.4958395361900329,0.4820197224617004,0.0
MICN,ETTh1,336.0,0.5925717949867249,0.5483027100563049,0.0
MICN,ETTh1,192.0,0.5467811226844788,0.5145632028579712,0.0
MICN,ETTh1,720.0,0.7332269549369812,0.639352023601532,0.0
OLS,ETTh1,96.0,0.4427833557128906,0.4420190751552582,0.0
OLS,ETTh1,192.0,0.488759696483612,0.474720150232315,0.0
OLS,ETTh1,720.0,0.6245842576026917,0.571239173412323,0.0
OLS,ETTh1,336.0,0.5232927799224854,0.5043118000030518,0.0
PatchTST,ETTh1,96.0,0.4278934001922607,0.4493743777275085,0.0
PatchTST,ETTh1,720.0,0.6253908276557922,0.5860766768455505,0.0
PatchTST,ETTh1,192.0,0.4759711325168609,0.482734739780426,0.0
PatchTST,ETTh1,336.0,0.5292602181434631,0.5191609859466553,0.0
