model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
FreTS,ETTh1,336,0.5502796,0.52791375,0
FreTS,ETTh1,720,0.702521026134491,0.6205559372901917,0
DLinear,ETTh1,96,0.4627421498298645,0.4624981582164764,0
DLinear,ETTh1,720,0.6940828561782837,0.6147968769073486,0
FreTS,ETTh1,96,0.4403946697711944,0.4460889995098114,0
DLinear,ETTh1,336,0.5585243701934814,0.5323551297187805,0
FreTS,ETTh1,192,0.49268439412117,0.484064370393753,0
DLinear,ETTh1,192,0.5095702409744263,0.4955583214759826,0
iTransformer,ETTh1,96,0.4380048215389251,0.4496407210826874,0
iTransformer,ETTh1,192,0.4998973906040191,0.4950941205024719,0
iTransformer,ETTh1,336,0.5569642186164856,0.5405951142311096,0
iTransformer,ETTh1,720,0.67405104637146,0.6126217842102051,0
MICN,ETTh1,96,0.4990218579769134,0.4831976592540741,0
MICN,ETTh1,192,0.5541163682937622,0.5186507105827332,0
MICN,ETTh1,336,0.6254155039787292,0.5651170015335083,0
MICN,ETTh1,720,0.7866023778915405,0.667178750038147,0
OLS,ETTh1,96,0.443006306886673,0.4420532286167145,0
OLS,ETTh1,336,0.5435618162155151,0.5184344053268433,0
OLS,ETTh1,192,0.4922713041305542,0.4779334962368011,0
OLS,ETTh1,720,0.6822352409362793,0.606620192527771,0
PatchTST,ETTh1,96,0.4277688860893249,0.4489750862121582,0
PatchTST,ETTh1,336,0.5516248345375061,0.534160852432251,0
PatchTST,ETTh1,192,0.4792300164699554,0.4849511086940765,0
PatchTST,ETTh1,720,0.6790903806686401,0.616859495639801,0
