model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,192,0.5074004530906677,0.4928284287452698,0
DLinear,ETTh1,720,0.6410355567932129,0.5825495719909668,0
DLinear,ETTh1,336,0.5401498675346375,0.5194145441055298,0
FreTS,ETTh1,720,0.644957959651947,0.5869825482368469,0
FreTS,ETTh1,336,0.5303526520729065,0.5141696333885193,0
FreTS,ETTh1,192,0.4896682798862457,0.4813027679920196,0
iTransformer,ETTh1,336,0.5389389991760254,0.5281495451927185,0
iTransformer,ETTh1,192,0.4985871911048889,0.4937626719474792,0
iTransformer,ETTh1,720,0.6316820979118347,0.5887945294380188,0
MICN,ETTh1,336,0.594338595867157,0.5487366318702698,0
MICN,ETTh1,720,0.7355915904045105,0.6398322582244873,0
MICN,ETTh1,192,0.5496447086334229,0.515808641910553,0
OLS,ETTh1,720,0.6272024512290955,0.5724653601646423,0
OLS,ETTh1,192,0.4896565675735473,0.4751488864421844,0
OLS,ETTh1,336,0.5245985984802246,0.504737913608551,0
PatchTST,ETTh1,336,0.5293226838111877,0.5190553665161133,0
PatchTST,ETTh1,720,0.6283248066902161,0.5877010822296143,0
PatchTST,ETTh1,192,0.4766706824302673,0.4833478331565857,0
DLinear,ETTh1,96,0.47162064909935,0.4706284999847412,0
OLS,ETTh1,96,0.4498151242733001,0.4508500397205353,0
FreTS,ETTh1,96,0.447297066450119,0.4547715187072754,0
iTransformer,ETTh1,96,0.432171493768692,0.4540827572345733,0
MICN,ETTh1,96,0.4728618860244751,0.4790472984313965,0
PatchTST,ETTh1,96,0.4384393095970154,0.4582880735397339,0
