model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,720,0.6374068,0.5805869,0
DLinear,ETTh1,192,0.5064199566841125,0.4924592971801758,0
DLinear,ETTh1,336,0.5385552048683167,0.5188814401626587,0
FreTS,ETTh1,720,0.642326831817627,0.5857690572738647,0
FreTS,ETTh1,192,0.4890750646591186,0.4809361100196838,0
DLinear,ETTh1,96,0.4627914130687713,0.4624826610088348,0
FreTS,ETTh1,336,0.5290783047676086,0.5136911273002625,0
iTransformer,ETTh1,336,0.5359299182891846,0.5266016721725464,0
iTransformer,ETTh1,192,0.4980332851409912,0.4933134913444519,0
iTransformer,ETTh1,96,0.4375567734241485,0.4497031271457672,0
iTransformer,ETTh1,720,0.631178617477417,0.5884117484092712,0
MICN,ETTh1,96,0.4960129261016845,0.4821278154850006,0
MICN,ETTh1,192,0.5472899675369263,0.5147135853767395,0
MICN,ETTh1,336,0.5924655795097351,0.5481994152069092,0
MICN,ETTh1,720,0.7324313521385193,0.6387601494789124,0
OLS,ETTh1,96,0.4428395330905914,0.442059189081192,0
OLS,ETTh1,720,0.6240984201431274,0.5707536935806274,0
OLS,ETTh1,192,0.4889096915721893,0.4748261570930481,0
OLS,ETTh1,336,0.522908091545105,0.5041182637214661,0
PatchTST,ETTh1,96,0.4279115498065948,0.4493951499462127,0
PatchTST,ETTh1,192,0.4758863449096679,0.4827571213245392,0
PatchTST,ETTh1,336,0.5289093255996704,0.519014298915863,0
PatchTST,ETTh1,720,0.6246487498283386,0.5856929421424866,0
