model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,720,0.66388184,0.5957103,0
FreTS,ETTh1,96,0.4416258335113525,0.4470672607421875,0
DLinear,ETTh1,96,0.4639610648155212,0.4634047746658325,0
DLinear,ETTh1,192,0.5116408467292786,0.4955715835094452,0
FreTS,ETTh1,720,0.6702176928520203,0.6015625596046448,0
FreTS,ETTh1,192,0.4942153990268707,0.4838787019252777,0
DLinear,ETTh1,336,0.5487024784088135,0.5250499844551086,0
FreTS,ETTh1,336,0.5401746034622192,0.5203245878219604,0
iTransformer,ETTh1,192,0.5023707747459412,0.4958154261112213,0
iTransformer,ETTh1,336,0.546561062335968,0.5332529544830322,0
iTransformer,ETTh1,96,0.4386462271213531,0.450532466173172,0
iTransformer,ETTh1,720,0.6562983989715576,0.6014042496681213,0
MICN,ETTh1,96,0.4968414306640625,0.4826802015304565,0
MICN,ETTh1,192,0.5484210848808289,0.5157701373100281,0
MICN,ETTh1,336,0.6048350930213928,0.5552525520324707,0
MICN,ETTh1,720,0.7542847990989685,0.6508817076683044,0
OLS,ETTh1,96,0.4440508186817169,0.4430165290832519,0
OLS,ETTh1,192,0.4942309558391571,0.477964848279953,0
OLS,ETTh1,336,0.5334789156913757,0.5105659365653992,0
OLS,ETTh1,720,0.6516457796096802,0.5867412686347961,0
PatchTST,ETTh1,336,0.5385795831680298,0.5245594382286072,0
PatchTST,ETTh1,96,0.4292487800121307,0.4503520727157593,0
PatchTST,ETTh1,192,0.4809362292289734,0.48558309674263,0
PatchTST,ETTh1,720,0.6493673324584961,0.5988065600395203,0
