model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,192,0.5083969235420227,0.4917289018630981,0
DLinear,ETTh1,720,0.6784204244613647,0.6002811193466187,0
FreTS,ETTh1,336,0.5427481532096863,0.5161563158035278,0
DLinear,ETTh1,336,0.5511777400970459,0.5209920406341553,0
OLS,ETTh1,720,0.6667430400848389,0.5893027782440186,0
iTransformer,ETTh1,720,0.66327303647995,0.6041043996810913,0
FreTS,ETTh1,720,0.6841942667961121,0.606093168258667,0
DLinear,ETTh1,96,0.4595334529876709,0.4587111175060272,0
OLS,ETTh1,336,0.5372517704963684,0.5068492889404297,0
iTransformer,ETTh1,336,0.5503039956092834,0.5300481915473938,0
FreTS,ETTh1,192,0.491931140422821,0.4808898568153381,0
FreTS,ETTh1,96,0.4377796649932861,0.4437386691570282,0
OLS,ETTh1,96,0.4408504068851471,0.4402771890163421,0
PatchTST,ETTh1,720,0.6743101477622986,0.6077225208282471,0
MICN,ETTh1,336,0.5898807048797607,0.5457896590232849,0
MICN,ETTh1,96,0.4576485157012939,0.4670831263065338,0
OLS,ETTh1,192,0.4920183420181274,0.4753343462944031,0
MICN,ETTh1,192,0.5313776135444641,0.5104806423187256,0
PatchTST,ETTh1,192,0.4835193455219269,0.4857074320316314,0
PatchTST,ETTh1,336,0.5410499572753906,0.5218247175216675,0
MICN,ETTh1,720,0.8022739887237549,0.6744619011878967,0
PatchTST,ETTh1,96,0.4279202222824096,0.4471708834171295,0
iTransformer,ETTh1,96,0.4258750081062317,0.4452246725559234,0
iTransformer,ETTh1,192,0.4994426965713501,0.49319973587989807,0
